Bhojpuri Morisien,Kreol Morisien,English
agar ham sirf shabd shabd milaai ta bhaav kai ber raasta mein kho jaala,si nou fer zis mot a mot santiman souvan perdi lor sime,if we only match words the feeling often gets lost on the way
halaanki machine anuwaad tez ba maanviy jaanch okra ke aur bharosemand bana dela,mem si tradiksion otomatik vit enn revizyon imen fer li pli fiab,although machine translation is fast human checking makes it more reliable
jab training data saaf suthra hoke ta model sahi pattern jaldi seekhe la,kan done formasion prop model aprann bon patron pli vit,when the training data is clean the model learns correct patterns faster
agar samaan vaakya ke alag alag roop rahe ta bleu score bhi jaade santulit ho sakela,si mem fraz ena plizier variant skor bleu vinn pli balans,if similar sentences exist in varied forms the bleu score can be more balanced
halaanki metric sab kuch na naap sake uu disha zaroor bata dela ki sudhaar sahi taraf ba,mem si metrik pa mezire tou li montre si nou pe ale dan bon direksion,although metrics cant measure everything they show whether improvement is going in the right direction
jab ham maanviy mulyankan ke saath bleu score dekhni ta poori tasveer saaf ho jaala,kan nou get skor bleu ansam avek zizman imen nou gagn enn vizyon pli kler,when we look at bleu along with human evaluation the full picture becomes clearer
ham bhukhal bani,mo grangou,i am hungry
ham pet bharal bani,mo finn manze,i am full
ham garam mahsus karat bani,mo santi so,i feel hot
ham thanda mahsus karat bani,mo santi fre,i feel cold
ham thaakal bani,mo fatige,i am tired
ham urjawaan bani,mo plen lenerzi,i am energetic
ham vyast bani,mo okipe,i am busy
ham free bani,mo lib,i am free
ham mazboot bani,mo for,i am strong
ham kamzor bani,mo feb,i am weak
ham sahamat bani,mo dakor,i agree
ham asahamat bani,mo pa dakor,i disagree
ham taiyaar bani,mo pare,i am ready
ham taiyaar naikh,mo pa pare,i am not ready
ham shaant bani,mo trankil,i am calm
ham tanav mein bani,mo strese,i am stressed
ham safal bani,mo reisi,i am successful
ham asafal bani,mo pa reisi,i am unsuccessful
ham mazboot mahsus karat bani,mo santi for,i feel strong
ham naazuk mahsus karat bani,mo santi feb,i feel fragile
ham bahadur bani,mo kouraze,i am brave
ham daral bani,mo per,i am scared
ham shaantipurn bani,mo pasifik,i am peaceful
ham gusse mein bani,mo ankoler,i am angry
ham ummeed se bharal bani,mo ranpli ar lespwar,i am hopeful
ham niraash bani,mo dezespere,i am hopeless
ham dhyan det bani,mo konsantre,i am focused
ham dhyan bhatkal bani,mo distrer,i am distracted
ham aaram mein bani,mo konfor,i am comfortable
ham asuvidha mein bani,mo pa konfor,i am uncomfortable
ham taakatwar mahsus karat bani,mo santi lot lenerzi,i feel powerful
ham kamzor mahsus karat bani,mo santi feb,i feel powerless
ham dheeraj rakhat bani,mo pasian,i am patient
ham adheer bani,mo pa pasian,i am impatient
ham saaf sochat bani,mo pe pans kler,i am thinking clearly
ham uljhal sochat bani,mo lespri konfizion,i am thinking unclearly
ham utsahit bani,mo exsite,i am excited
ham bor bani,mo anwiye,i am bored
ham santusht bani,mo satisfe,i am satisfied
ham asantusht bani,mo pa satisfe,i am dissatisfied
ham vishwasi bani,mo sirten,i am confident
ham asurakshit bani,mo pa sirten,i am insecure
ham ashaavadi bani,mo optimist,i am optimistic
ham niraashaavadi bani,mo pessimiste,i am pessimistic
ham dhyan se sunat bani,mo ekout byen,i am listening carefully
ham ansuni karat bani,mo pa ekout,i am ignoring
ham hamtan bani,mo prese,i am in a hurry
ham aaram se bani,mo pe pran letan,i am relaxed
ham hansat bani,mo pe riye,i am laughing
ham rowat bani,mo pe plore,i am crying
ham pasand karat bani,mo kontan,i like it
ham napasand karat bani,mo pa kontan,i dislike it
ham bharosa karat bani,mo fer konfians,i trust
ham bharosa na karat bani,mo pa fer konfians,i don t trust
ham safal mahsus karat bani,mo santi reisi,i feel successful
ham asafal mahsus karat bani,mo santi echwe,i feel like a failure
ham utsuk bani,mo kurie,i am curious
ham udaasin bani,mo pa interese,i am uninterested
ham sakriya bani,mo aktiv,i am active
ham nishkriya bani,mo inaktiv,i am inactive
ham sammaan det bani,mo respekte,i respect
ham apmaan karat bani,mo insult,i insult
ham dhyan mein bani,mo konsantre,i am focused
ham bhatkat bani,mo pe perdi latansion,i am drifting
ham jeet rahal bani,mo pe gagne,i am winning
ham haar rahal bani,mo pe perdi,i am losing
ham aage badhat bani,mo pe avanse,i am progressing
ham pichhe hatat bani,mo pe recul,i am regressing
ham jaagal bani,mo azir,i am awake
ham sowat bani,mo dormi,i am sleeping
ham saaf bolat bani,mo koze kler,i speak clearly
ham badbadat bani,mo koze bafoue,i am mumbling
ham tez bani,mo vit,i am fast
ham dheera bani,mo dousman,i am slow
ham majboot ichchha rakhat bani,mo ena volonte for,i am determined
ham ichchha vihin bani,mo pena volonte,i lack motivation
ham spasht bani,mo kler,i am clear
ham uljhal bani,mo konfize,i am confused
ham chaalak bani,mo malinn,i am clever
ham moorkh bani,mo bet,i am foolish
ham mehnati bani,mo travayer,i am hardworking
ham aalsi bani,mo parese,i am lazy
ham vinamra bani,mo modess,i am humble
ham ghamandi bani,mo orgay,i am arrogant
ham dayaalu bani,mo dou,i am kind
ham krur bani,mo mechan,i am cruel
ham imaandaar bani,mo onet,i am honest
ham beimaan bani,mo pa onet,i am dishonest
ham khatra mein bani,mo an risk,i am in danger
ham swasth bani,mo an bonne sante,i am healthy
ham beemar bani,mo malad,i am sick
ham dhani bani,mo riss,i am rich
ham gareeb bani,mo pov,i am poor
ham andar bani,mo andan,i am inside
ham baahar bani,mo deor,i am outside
ham upar bani,mo lao,i am up
ham neeche bani,mo anba,i am down
ham daahina or bani,mo drwat,i am on the right
ham baam or bani,mo gos,i am on the left
ham sahi bani,mo korek,i am right
ham galat bani,mo fos,i am wrong
ham aage bani,mo devan,i am in front
ham pichhe bani,mo deryer,i am behind
ham upar chadhat bani,mo pe mont,i am going up
ham neeche utrarat bani,mo pe desann,i am going down
ham chalat bani,mo pe mars,i am walking
ham rukal bani,mo arrete,i am stopped
ham bolat bani,mo koze,i am speaking
ham chup bani,mo pe res trankil,i am silent
ham dekh at bani,mo pe get,i am looking
ham andekha karat bani,mo pe ignore,i am ignoring
ham bhulat bani,mo pe bliye,i am forgetting
ham shuru karat bani,mo pe koumanse,i am starting
ham khatam karat bani,mo pe fini,i am finishing
ham ji rahal bani,mo vivan,i am alive
ham mar rahal bani,mo pe mor,i am dying
ham thak gail bani,mo fatige,i am tired
ham thaki gail rahin,mo fatige,i am tired
ham bahut thakaan mahsus karat bani,mo fatige,i am tired
ham thakail bani,mo fatige,i am tired
ham bahute khush bani,mo ere,i am happy
ham andar se khush mahsus karat bani,mo ere,i am happy
hamara man khush ba,mo ere,i am happy
ham bahute udaas bani,mo tris,i am sad
hamara man bhaari ba,mo tris,i am sad
ham udaasi mahsus karat bani,mo tris,i am sad
hamke zor se bhukh lagal ba,mo grangou,i am hungry
hamara pet khaali ba,mo grangou,i am hungry
ham bahut bhukh mahsus karat bani,mo grangou,i am hungry
ham kha lele bani,mo finn manze,i am full
ham ab bhukhal naikh,mo finn manze,i am full
ham bhar pet khaini,mo finn manze,i am full
hamke neend aawat ba,mo somne vini,i am sleepy
ham uninda bani,mo somne vini,i am sleepy
ham sove ke man hot ba,mo somne vini,i am sleepy
ham bahut neend mahsus karat bani,mo somne vini,i am sleepy
ham poora jage bani,mo azir,i am awake
hamara neend ud gail ba,mo azir,i am awake
ham so na pawni,mo azir,i am awake
ham bahut kaam mein fansal bani,mo okipe,i am busy
hamara lage samay naikh,mo okipe,i am busy
ham kaam mein doobal bani,mo okipe,i am busy
hamke ab fursat ba,mo lib,i am free
ham khaali bani,mo lib,i am free
hamara lage samay ba,mo lib,i am free
ham gussa mein bani,mo ankoler,i am angry
ham bahute gusse mein bani,mo ankoler,i am angry
ham khijhal bani,mo ankoler,i am angry
ham naraz bani,mo ankoler,i am angry
ham poora shaant mahsus karat bani,mo trankil,i am calm
ham andar se shaant bani,mo trankil,i am calm
ham tanav mukt bani,mo trankil,i am calm
ham dar gail bani,mo per,i am scared
hamke dar lagat ba,mo per,i am scared
ham bhay mahsus karat bani,mo per,i am scared
ham himmat wala bani,mo kouraze,i am brave
ham nirbhik bani,mo kouraze,i am brave
ham dare bina khada bani,mo kouraze,i am brave
ham bahute aaram mahsus karat bani,mo konfor,i am comfortable
ham sahaj mahsus karat bani,mo konfor,i am comfortable
ham poora relax bani,mo konfor,i am comfortable
ham dukh mein bani,mo tris,i am sad
hamara man tutal ba,mo tris,i am sad
ham bahut nirash bani,mo tris,i am sad
hamara dil bhaari ba,mo tris,i am sad
ham thakaan mein bani,mo fatige,i am tired
hamara deh thakail ba,mo fatige,i am tired
ham poora thak gail bani,mo fatige,i am tired
ham thaka mahsus karat bani,mo fatige,i am tired
ham khush mahsus karat bani,mo ere,i am happy
ham bahute prasann bani,mo ere,i am happy
ham bahut santusht bani,mo ere,i am happy
hamara man mein khushi ba,mo ere,i am happy
hamke bhukh lagal ba,mo grangou,i am hungry
ham bhukh se pareshan bani,mo grangou,i am hungry
hamke khaye ke man ba,mo grangou,i am hungry
ham khay bad bani,mo grangou,i am hungry
ham piasal bani,mo swaf,i am thirsty
hamke paani piye ke man ba,mo swaf,i am thirsty
ham bahut pias mahsus karat bani,mo swaf,i am thirsty
ham pias se sukh gail bani,mo swaf,i am thirsty
hamke aaram ba,mo konfor,i am comfortable
ham aaram mahsus karat bani,mo konfor,i am comfortable
ham poora aaram mein bani,mo konfor,i am comfortable
ham sahaj bani,mo konfor,i am comfortable
ham tanav mein bani,mo stres,i am stressed
ham bahute tanavgrast bani,mo stres,i am stressed
ham par dabaw ba,mo stres,i am stressed
ham tanav mahsus karat bani,mo stres,i am stressed
ham chintit bani,mo enkyet,i am worried
ham bahut chinta mein bani,mo enkyet,i am worried
ham chintit mahsus karat bani,mo enkyet,i am worried
ham soch mein padal bani,mo enkyet,i am worried
ham darat bani,mo per,i am scared
hamara man dar gail ba,mo per,i am scared
ham bhaybheet bani,mo per,i am scared
ham dari mahsus karat bani,mo per,i am scared
ham sahasi bani,mo kouraze,i am brave
ham himmat se bharal bani,mo kouraze,i am brave
ham dare bina chalat bani,mo kouraze,i am brave
ham nirbhay mahsus karat bani,mo kouraze,i am brave
ham thanda mahsus karat bani,mo fre,i am cold
hamke jaada lagal ba,mo fre,i am cold
ham thand se kaamp rahal bani,mo fre,i am cold
ham thand mein jakdal bani,mo fre,i am cold
ham garam mahsus karat bani,mo so,i am hot
hamke garmi lagal ba,mo so,i am hot
ham garmi se pareshan bani,mo so,i am hot
ham pasina paadat bani,mo so,i am hot
ham nirash bani,mo desevwar,i am disappointed
ham bahut nirash mahsus karat bani,mo desevwar,i am disappointed
ham ummeed tutal ba,mo desevwar,i am disappointed
ham natija se dukhi bani,mo desevwar,i am disappointed
ham bahut santushti mahsus karat bani,mo satisfe,i am satisfied
hamke santosh ba,mo satisfe,i am satisfied
ham kaam se khush bani,mo satisfe,i am satisfied
ham bahut utsaah mein bani,mo exsite,i am excited
ham romanchit bani,mo exsite,i am excited
ham utsaah mahsus karat bani,mo exsite,i am excited
ham shaant ba,mo trankil,i am calm
ham man se shaant bani,mo trankil,i am calm
ham poori tarah shaant bani,mo trankil,i am calm
ham shanti mahsus karat bani,mo trankil,i am calm
ham dukhi mahsus karat bani,mo tris,i am sad
ham nirash mahsus karat bani,mo tris,i am sad
hamara man peeda mein ba,mo tris,i am sad
hamke rove ke man hot ba,mo tris,i am sad
ham bahute thakail bani,mo vreman fatige,i am very tired
ham thaka mahsus karat bani,mo vreman fatige,i am very tired
ham aaj zor se thakail bani,mo vreman fatige,i am very tired today
aaj ham bahute kamzor mahsus karat bani,mo vreman fatige,i feel very weak today
ham halka khush bani,mo enn ti ere,i am a little happy
aaj ham thoda khush bani,mo enn ti ere,i am a bit happy today
ham dheere dheere khush hot jat bani,mo pe vinn plis ere,i am slowly becoming happier
hamke khushi mahsus hot ba,mo pe santi mwa ere,i can feel happiness
ham bahut udaas bani,mo vreman tris,i am very sad
ham aaj thoda dukhi bani,mo enn ti tris,i am a little sad today
hamke andar se dukh lagat ba,mo santi tris andan,i feel sad inside
ham dheere dheere udaas hot jat bani,mo pe vinn plis tris,i am becoming sadder
hamke zor se bhukh lagal ba,mo vreman grangou,i am very hungry
aaj ham bahute bhukhal bani,mo vreman grangou,i am extremely hungry today
hamke thoda bhukh lagal ba,mo enn ti grangou,i am a little hungry
ham ab bhukhal naikh,mo pa grangou,i am not hungry anymore
ham piasal bani,mo vreman swaf,i am very thirsty
aaj hamke paani piye ke zor se man ba,mo vreman swaf,i really want to drink water
ham halka piasal bani,mo enn ti swaf,i am slightly thirsty
hamara pias kam ho gail ba,mo swaf inn diminie,my thirst has reduced
ham bahute vyast bani,mo vreman okipe,i am very busy
ham aaj thoda busy bani,mo enn tigit okipe,i am a bit busy today
hamke fursat naikh,mo pena letan,i don t have time
aaj ham thoda free bani,mo enn ti lib,i am a bit free today
ham neend mein bani,mo someil vini,i am sleepy
aaj ham bahut uninda bani,mo p gain bocou someil,i am very sleepy today
ham halka uninda bani,mo enn ti somne vini,i am slightly sleepy
ham abhi so sakeni,mo pa kapav dormi,i cannot sleep right now
ham thoda jaagal bani,mo enn ti azir,i am somewhat awake
ham poora jaagal naikh,mo pa totalman azir,i am not fully awake
ham dheere dheere jagat jat bani,mo pe leve tipti tipti,i am slowly waking up
hamke thoda chinta ba,mo enn ti enkyet,i am a little worried
ham bahut tanav mein bani,mo vreman stres,i am very stressed
hamke tanav kam ba,mo stres pa tro,i am not too stressed
ham halka gussa bani,mo enn tigit ankoler,i am slightly angry
ham bahut naraz bani,mo vreman ankoler,i am very angry
ham jaldi shaant ho jani,mo pou kalmer vit,i will calm down soon
ham aaram mein bani,mo dan konfor,i am comfortable
ham thoda relax bani,mo enn tigit dan konfor,i am a bit relaxed
ham poora aaram mein naikh,mo pa totalman konfor,i am not fully comfortable
aaj ham badhiya mahsus karat bani,mo santi mwa byen,i am feeling good today
ham darail bani,mo per,i am scared
ham thoda darail bani,mo enn ti per,i am a little scared
ham ab dar naikh,mo pa per,i am not scared anymore
ham dheere dheere dar mitawat bani,mo per pe ale,my fear is going away
ham bahut romanchit bani,mo vreman exsite,i am very excited
ham thoda utsahit bani,mo enn ti exsite,i am a bit excited
hamke utsaah badh rahal ba,mo exsitasion pe ogmante,my excitement is increasing
ham thoda nirash bani,mo enn ti desevwar,i am slightly disappointed
ham bahut nirash bani,mo vreman desevwar,i am very disappointed
hamke ummeed tut gail ba,mo lespwar kase,my hope broke
ham bahut santusht bani,mo vreman satisfe,i am very satisfied
ham thoda santusht bani,mo enn ti satisfe,i am somewhat satisfied
ham kaam se santusht bani,mo satisfe ar travay,i am satisfied with the work
ham thoda bahadur mahsus karat bani,mo enn ti kouraze,i feel a little brave
ham ab kamzor naikh,mo pa feb,i am not weak anymore
ham dheere dheere majboot hot jat bani,mo pe vinn plis for,i am becoming stronger
ham bahut thakail bani,mo vreman fatige,i am very tired
ham thoda thakail bani,mo enn tigit fatige,i am a little tired
ham dheere dheere thakawat jat bani,mo pe vinn plis fatige,i am getting more tired
ham thakaan mahsus karat bani,mo pe santi mwa fatige,i feel tired
ham bahut khush bani,mo vreman ere,i am very happy
ham thoda khush bani,mo enn ti ere,i am a little happy
ham dheere dheere khush hot jat bani,mo pe vinn plis ere,i am becoming happier
ham andar se khush mahsus karat bani,mo pe santi mwa ere andan,i feel happy inside
ham thoda udaas bani,mo enn ti tris,i am a little sad
hamke andar se dukh lagat ba,mo santi tris andan,i feel sadness inside
ham thoda tanav mein bani,mo enn ti stres,i am a bit stressed
ham tanav mahsus karat bani,mo pe santi mwa stres,i feel stressed
ham bahut chintit bani,mo vreman enkyet,i am very worried
ham thoda chintit bani,mo enn ti enkyet,i am a little worried
hamke chinta kam ba,mo pa tro enkyet,i am not too worried
ham chinta mahsus karat bani,mo pe santi mwa enkyet,i feel worried
ham bahut darail bani,mo vreman per,i am very scared
ham dheere dheere dar mitawat jat bani,mo per pe ale tipti tipti,my fear is slowly going away
ham bahut piasal bani,mo vreman swaf,i am very thirsty
ham thoda piasal bani,mo enn ti swaf,i am slightly thirsty
ham pias mahsus karat bani,mo pe santi mwa swaf,i feel thirsty
hamara pias kam ho gail ba,mo swaf inn diminie,my thirst has decreased
ham bahut bhukhal bani,mo vreman grangou,i am very hungry
ham thoda bhukhal bani,mo enn ti grangou,i am a little hungry
ham bhukh mahsus karat bani,mo pe santi mwa grangou,i feel hungry
ham bahut neend mein bani,mo vreman somne vini,i am very sleepy
ham thoda uninda bani,mo enn ti somne vini,i am a bit sleepy
ham neend mahsus karat bani,mo pe santi somne vini,i feel sleepy
ham ab neend mein naikh,mo pa somne,i am not sleepy anymore
ham bahut jaagal bani,mo vreman azir,i am very awake
ham jaagal mahsus karat bani,mo pe santi mwa azir,i feel awake
ham bahut utsahit bani,mo vreman exsite,i am very excited
ham utsaah mahsus karat bani,mo pe santi mwa exsite,i feel excited
ham ab utsahit naikh,mo pa exsite,i am not excited anymore
ham nirash mahsus karat bani,mo pe santi mwa desevwar,i feel disappointed
ham santushti mahsus karat bani,mo pe santi mwa satisfe,i feel satisfied
ham bahut aaram mein bani,mo vreman konfor,i am very comfortable
ham thoda aaram mein bani,mo enn ti konfor,i am a little comfortable
ham aaram mahsus karat bani,mo pe santi mwa konfor,i feel comfortable
ham ab aaram mein naikh,mo pa konfor,i am not comfortable anymore
ham bahut gusse mein bani,mo vreman ankoler,i am very angry
ham thoda gussa bani,mo enn ti ankoler,i am a little angry
ham gussa mahsus karat bani,mo pe santi mwa ankoler,i feel angry
ham jaldi shaant hot jat bani,mo pe vinn plis trankil vit,i am calming down quickly
ham bahut kamzor mahsus karat bani,mo vreman feb,i feel very weak
ham thoda kamzor bani,mo enn ti feb,i am a little weak
ham khana kha rahal bani,mo pe manze,i am eating
ham abhi kha rahal bani,mo pe manze,i am eating right now
ham khana khaye ke taiyaari karat bani,mo pe prepare pou manze,i am preparing to eat
ham kha lele bani,mo finn manze,i have eaten
ham paani pi rahal bani,mo pe bwar delo,i am drinking water
ham abhi thoda paani pini,mo pe bwar enn ti delo,i am drinking a little water
ham paani piye ke man ba,mo envi bwar delo,i feel like drinking water
ham paani pi lele bani,mo finn bwar delo,i have drunk water
ham lekol jaaye khatir nikalat bani,mo pe ale lekol,i am going to school
ham lekol ja rahal bani,mo pe ale lekol,i am going to school
ham roj lekol jat bani,mo ale lekol toulezour,i go to school daily
ham lekol se laut rahal bani,mo pe retourn depi lekol,i am returning from school
ham abhi kaam par bani,mo lor travay,i am at work
ham bahut kaam karat bani,mo pe travay boukou,i am working a lot
ham kaam khatam kar lele bani,mo finn termin travay,i finished work
ham padhai karat bani,mo pe etidie,i am studying
ham abhi padh rahal bani,mo pe etidie,i am studying right now
ham roj padhat bani,mo etidie toulezour,i study daily
ham padhai khatam kar lele bani,mo finn termin etidie,i finished studying
ham sove ja rahal bani,mo pe al dormi,i am going to sleep
ham abhi so rahal bani,mo pe dormi,i am sleeping
ham neend mein padal bani,mo pe dormi dousman,i am falling asleep
ham soke uthal bani,mo fek leve,i just woke up
ham tahalat bani,mo pe mars,i am walking
ham roj tahalat bani,mo mars toulezour,i walk daily
ham tez chal rahal bani,mo pe mars vit,i am walking fast
ham dheere dheere chal rahal bani,mo pe mars dousman,i am walking slowly
ham bazaar ja rahal bani,mo pe ale bazar,i am going to the market
ham bazaar se aa rahal bani,mo pe retourn depi bazar,i am coming back from the market
ham kharidaari karat bani,mo pe aste zafer,i am shopping
ham bazaar mein ghoom rahal bani,mo pe promne bazar,i am walking around the market
ham khana bana rahal bani,mo pe kwit manze,i am cooking food
ham abhi pakawat bani,mo pe kwit,i am cooking right now
ham roj khana banawat bani,mo kwit toulezour,i cook every day
ham khana bana ke kha leni,mo finn kwit ek manze,i cooked and ate
ham safai karat bani,mo pe netwaye,i am cleaning
ham ghar saaf karat bani,mo pe netwaye lakaz,i am cleaning the house
ham roj saaf safai karat bani,mo netwaye toulezour,i clean daily
ham safai khatam kar lele bani,mo finn netwaye,i finished cleaning
ham nihat bani,mo pe benyen,i am bathing
ham abhi naha rahal bani,mo pe benyen,i am bathing right now
ham roj nihat bani,mo benyen toulezour,i bathe daily
ham naha ke tayar bani,mo finn benyen ek paret,i bathed and dressed
ham mobile chala rahal bani,mo pe servi telefon,i am using my phone
ham video dekh rahal bani,mo pe get video,i am watching a video
ham social media chala rahal bani,mo pe scroll social media,i am scrolling social media
ham sangeet sunat bani,mo pe ekout lamizik,i am listening to music
ham tv dekh rahal bani,mo pe get televizyon,i am watching tv
ham game khel rahal bani,mo pe zwe game,i am playing a game
ham aaram karat bani,mo pe repoze,i am resting
ham roj aaram karat bani,mo repoze toulezour,i rest daily
ham let rahal bani,mo pe asize doze,i am lying down
ham kursi par baithal bani,mo asize lor sez,i am sitting on a chair
ham kitaab padh rahal bani,mo pe lir enn liv,i am reading a book
ham roj kitaab padhat bani,mo lir liv toulezour,i read books daily
ham kitaab mein kho gail bani,mo pe plonje dan liv,i am lost in the book
ham padhke sikhi rahal bani,mo pe aprann atraver lir,i am learning by reading
ham likhat bani,mo pe ekrir,i am writing
ham note likh rahal bani,mo pe ekrir not,i am writing notes
ham roj likhat bani,mo ekrir toulezour,i write daily
ham likhke tayar hot bani,mo pe ekrir pou prepare,i am writing to prepare
ham daudat bani,mo pe kour,i am running
ham roj daudat bani,mo kour toulezour,i run daily
ham dheere dheere daud rahal bani,mo pe kour dousman,i am running slowly
ham tez daud rahal bani,mo pe kour vit,i am running fast
ham khelat bani,mo pe zwe,i am playing
ham bachche ke saath khel rahal bani,mo pe zwe ar zanfan,i am playing with a child
ham roj khelat bani,mo zwe toulezour,i play daily
ham khel khatam kar lele bani,mo finn termin zwe,i finished playing
ham khana kha let bani,mo pe manze,i am eating
ham khana kha rahal rahin,mo pe manze,i am eating
ham abhi kha leni,mo pe manze,i am eating right now
ham kha leke khatam kar deni,mo finn manze,i have eaten
ham paani pi let bani,mo pe bwar delo,i am drinking water
ham thoda paani pi leni,mo pe bwar enn ti delo,i am drinking a little water
hamke paani piye ke chah ba,mo envi bwar delo,i want to drink water
ham paani pi ke ho gail bani,mo finn bwar delo,i have drunk water
ham lekol ja let bani,mo pe ale lekol,i am going to school
ham lekol jaaye nikalal bani,mo pe ale lekol,i am going to school
ham roj lekol jaini,mo ale lekol toulezour,i go to school daily
ham lekol se wapas aa rahal bani,mo pe retourn depi lekol,i am returning from school
ham kaam kar rahal bani,mo pe travay,i am working
ham abhi kaam karat bani,mo pe travay,i am working right now
ham bahut kaam kar rahal bani,mo pe travay boukou,i am working a lot
ham kaam poora kar leni,mo finn termin travay,i finished work
ham padhat bani,mo pe etidie,i am studying
ham kitaab padhat bani,mo pe etidie,i am studying
ham roj padhani,mo etidie toulezour,i study daily
ham padhke khatam kar leni,mo finn termin etidie,i finished studying
ham sove ja let bani,mo pe al dormi,i am going to sleep
ham abhi so leni,mo pe dormi,i am sleeping
ham neend mein ja rahal bani,mo pe dormi dousman,i am falling asleep
ham soke uth gail bani,mo fek leve,i just woke up
ham tahal rahal bani,mo pe mars,i am walking
ham tez chalat bani,mo pe mars vit,i am walking fast
ham dheere dheere chalat bani,mo pe mars dousman,i am walking slowly
ham bazar ja let bani,mo pe ale bazar,i am going to the market
ham bazar se lautat bani,mo pe retourn depi bazar,i am coming back from the market
ham kharidaari kar rahal bani,mo pe aste zafer,i am shopping
ham bazar mein ghoomat bani,mo pe promne bazar,i am walking around the market
ham khana banawat bani,mo pe kwit manze,i am cooking food
ham safai kar rahal bani,mo pe netwaye,i am cleaning
ham ghar saaf kar rahal bani,mo pe netwaye lakaz,i am cleaning the house
ham roj safai karat bani,mo netwaye toulezour,i clean daily
ham safai poora kar leni,mo finn netwaye,i finished cleaning
ham naha rahal bani,mo pe benyen,i am bathing
ham abhi nihat bani,mo pe benyen,i am bathing right now
ham video dekhat bani,mo pe get video,i am watching a video
ham sangeet sun rahal bani,mo pe ekout lamizik,i am listening to music
ham tv dekhat bani,mo pe get televizyon,i am watching tv
ham game khelat bani,mo pe zwe game,i am playing a game
ham letat bani,mo pe asize doze,i am lying down
ham baithal bani,mo asize,i am sitting
ham kitaab padhat bani,mo pe lir enn liv,i am reading a book
ham kitaab mein doobal bani,mo pe plonje dan liv,i am lost in the book
ham padhke sikhat bani,mo pe aprann atraver lir,i am learning through reading
ham uthal bani,mo fek leve,i just woke up
ham abhi uthni,mo fek leve,i just woke up
ham abhi abhi uthal bani,mo fek leve,i just woke up
ham so rahal bani,mo pe dormi,i am sleeping
ham neend mein bani,mo pe dormi,i am sleeping
ham gahri neend mein bani,mo pe dormi,i am sleeping deeply
ham chal rahal bani,mo pe mars,i am walking
ham sadak par chal rahal bani,mo pe mars,i am walking on the road
ham ghoom rahal bani,mo pe mars,i am walking around
ham kha rahal bani,mo pe manze,i am eating
ham khana kha leni,mo finn manze,i have eaten
ham piyat bani,mo pe bwar delo,i am drinking
ham paani piyat bani,mo pe bwar delo,i am drinking water
ham thoda paani pi rahal bani,mo pe bwar enn ti delo,i am drinking a little water
ham paani pi leni,mo finn bwar delo,i have drunk water
ham office mein kaam karat bani,mo pe travay,i am working at the office
ham ab kaam par bani,mo lor travay,i am at work
ham kaam khatam kar leni,mo finn termin travay,i finished work
ham padhke poora kar leni,mo finn termin etidie,i finished studying
ham show dekh rahal bani,mo pe get televizyon,i am watching a show
ham tv dekhke aaram karat bani,mo pe get televizyon,i am relaxing watching tv
ham gaana sunat bani,mo pe ekout lamizik,i am listening to music
ham gaana sunke khush bani,mo pe ekout lamizik,i am happy listening to music
ham letat bani,mo pe repoze,i am lying down
ham bisraam karat bani,mo pe repoze,i am resting
ham aaram mein bani,mo pe repoze,i am resting comfortably
ham bahut dukhi bani,mo tris,i am very sad
ham thoda dukhi bani,mo tris,i am a little sad
ham dukh mahsus karat bani,mo tris,i feel sad
ham bahut khush bani,mo ere,i am very happy
ham thoda khush bani,mo ere,i am a little happy
ham khushi mahsus karat bani,mo ere,i feel happy
ham bahut tanav mein bani,mo stres,i am very stressed
ham thoda tanav mein bani,mo stres,i am a little stressed
ham tanav mahsus karat bani,mo stres,i feel stressed
ham bahut chintit bani,mo enkyet,i am very worried
ham thoda chintit bani,mo enkyet,i am a little worried
ham chinta mahsus karat bani,mo enkyet,i feel worried
ham bahut thakail bani,mo fatige,i am very tired
ham thoda thakail bani,mo fatige,i am a little tired
ham thakaan mahsus karat bani,mo fatige,i feel tired
ham urjawaan mahsus karat bani,mo plen lenerzi,i feel energetic
aaj ham bahute urjawaan bani,mo plen lenerzi,i feel very energetic today
hamar deh mein josh ba,mo plen lenerzi,my body feels full of energy
hamara andar taakat mahsus hot ba,mo plen lenerzi,i feel strength inside
ham shaant mahsus karat bani,mo trankil,i feel calm
aaj ham bahute shaant bani,mo trankil,i am very calm today
ham dheere dheere shaant hot jat bani,mo pe vinn plis trankil,i am slowly calming down
hamara man mein shanti ba,mo trankil,my mind is at peace
ham khush aa aaram mein bani,mo santi mwa byen,i feel good
aaj ham bahute badhiya mahsus karat bani,mo santi mwa byen,i am feeling very good today
hamke andar se acchha lagat ba,mo santi mwa byen,i feel good inside
hamara mijaaj theek ba,mo santi mwa byen,my mood is good
ham thaakal mahsus karat bani,mo fatige,i feel tired
aaj din bhar se ham thakaan mein bani,mo fatige,i have been tired all day
ham dheere dheere thak jat bani,mo pe vinn plis fatige,i am getting more and more tired
hamke aaram ke jarurat ba,mo bizin repoze,i need rest
ham bor mahsus karat bani,mo anwiye,i feel bored
aaj ham bahute bor bani,mo anwiye,i am very bored today
hamke kuchho kare ke man naikh,mo pa envi fer naryen,i dont feel like doing anything
ham samay katawe khatir idhar udhar dekhat bani,mo pe gete partou pou pas tan,i am looking around just to pass time
ham ruchi mahsus karat bani,mo interese,i feel interested
